id,catalog_file_id,produit,description,prix,unite,image_filename
742,75,Cote de porc par 3 La ferme d'Arracq, Sous vide environ 600 G ,7.63,1,
743,75,Coustou frais La ferme d'Arracq,Sous vide environ 500 G ,3.82,1,
744,75,Filet mignon La ferme d'Arracq, Sous vide environ 600 G ,10.7,1,
745,75,jambon blanc cuit  4 tranches La ferme d'Arracq,sous vide environ 200 G,5.99,1,
746,75,Lardons frais La ferme d'Arracq, Sous vide environ 200 G ,2.67,1,
747,75,Lardons séchés La Ferme d'Arracq,sous vide environ 200 G  ,3.54,1,
748,76,CITRON JAUNE_green organic antonio gonzalez_Kilo_,CITRON JAUNE,2.5,1,
749,76,AVOCAT_green organic antonio gonzalez_Kilo_,AVOCAT,6.5,1,
751,76,patates douces_green organic antonio gonzalez_Kilo_,patates douces,2.8,1,
752,76,PISTACHES SANS SEL 200GR ANTONIO GREEN ORGANIC_green organic antonio gonzalez_Unite_,PISTACHES SANS SEL 200GR ANTONIO GREEN ORGANIC,6,1,
753,76,citrons verts_green organic antonio gonzalez_Kilo_,citrons verts,3.5,1,
754,76,CURCUMA FRAIS ANTONIO GREEN ORGANIC_green organic antonio gonzalez_Kilo_,CURCUMA FRAIS ANTONIO GREEN ORGANIC,9,1,
755,76,FRUIT DE LA PASSION_green organic antonio gonzalez_Kilo_,"FRUIT DE LA PASSION par 1 kg(15,50€ kg )ou par  3kg 15€kg",15.5,1,
756,76,GINGEMBRE_green organic antonio gonzalez_Kilo_,GINGEMBRE,9,1,
759,76,ORANGE_green organic antonio gonzalez_Kilo_,ORANGE,2.1,1,
761,77,Champagne BRUT Premium_Rigot Caillez_Unite_,"Champagne brut premium-Assemblage de cuvées et de tailles issues de la vendange 2023 comprenant 50% de pinot meunier, 30% de pinot noir, 20% de Chardonnay",15.9,1,
762,77,Champagne BLANC DE BLANCS_Rigot Caillez_Unite_,Champagne BLANC DE BLANCS-Vin élaboré à partir de cuvées pures de l'unique cépage CHARDONNAY issues de la vendange 2022,18.7,1,
763,77,DEMI-BOUTEILLE Champagne GRANDE RÉSERVE _Rigot Caillez_Unite_,"DEMI-BOUTEILLE Champagne GRANDE RÉSERVE - Assemblage de cuvées pures issues de la vendange 2023 comprenant 40% de pinot meunier, 30% de pinot noir, 30% de Chardonnay",9.1,1,
764,77,Champagnee DEMI-SEC Premium_Rigot Caillez_Unite_,"Champagnee DEMI-SEC Premium-Assemblage de cuvées et de tailles issues de la vendange 2023 comprenant 50% de pinot meunier, 30% de pinot noir, 20% de Chardonnay",15.9,1,
765,77,CHAMPAGNE MILLESIME 2016 VINTAGE_Rigot Caillez_Unite_,"CHAMPAGNE MILLESIME 2016 VINTAGE- Vin élaboré à partir de cuvées pures, savoureux assemblages des 3 cépages champenois issus de la vendange 2016",19.9,1,
766,77,Champagne GRANDE RÉSERVE_Rigot Caillez_Unite_,"Champagne GRANDE RÉSERVE-Assemblage de cuvées pures issues de la vendange 2023 comprenant 40% de pinot meunier, 30% de pinot noir, 30% de Chardonnay",16.7,1,
767,77,Champagne GRANDE RÉSERVE ROSE_Rigot Caillez_Unite_,"Champagne GRANDE RÉSERVE ROSE- 
Vin élaboré uniquement par assemblage de cuvées pures et de vin rouge de champagne provenant de notre vignoble lors de la vendange 2022",17.7,1,
776,75,colis de porc  bio 10 KG,"1KG  de chipolatas, poitrine tranchée, saucisses de Toulouse, chair à saucisse, coustou
2X1KG de cotes de porc, 2X1KG sauté de porc,600 G de jarret, 2X200G lardons",140,1,
777,75,colis de porc bio prenium 5 KG,"2X300 g d'araignée, 1kg200  côte de porc, 1kg200 filet mignon, 1 kg joue de porc, 1 kg rouelle",95,1,
778,75,colis de porc frais,"1 kg de chipolatas, côtes , poitrine tranchée, saucisses de Toulouse, sauté.",70,1,
779,73,jambon kintoa AOP,morceau sous vide sans couenne (MINIMUN 350 g). 75 € le kg  24 mois d'affinage,27,1,
780,73,jambon entier kintoa AOP,"entier à l'os environ 8,500 kg . 32 € le kg. 24 mois d'affinage",270,1,
781,73,txintxu porc kintoa,rillettes bocal de 190 g,4.5,1,
782,72,axoa de veau au piment d'Espelette,bocal de 750 g,15,1,
783,72,daube de boeuf,bocal de 750 g,15,1,
784,72,blanquette de veau,bocal de 750 g,15,1,
799,81,Pain de Campagne Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
800,81,Pain de Campagne Moule Fermé 1500 g,"Pain de Campagne cuit en moule fermé.
Il a une forme parfaitement rectangulaire, et très peu de croûte ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
803,81,Petit Epeautre Grand  moule 1300 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",8.02,1,
805,81,Pain aux graines Banneton 1000g,"Pain façonné en banneton osier et cuit à même sur la sole du four. Une croûte profonde et mie ouverte. ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
806,81,Pain aux graines Grand Moulé 1300g,"Pain aux graines oléagineuses sur base de pain de campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
807,81,Pain Généreux Grand Moulé 1300g,"Pain aux fruits sec et fruits à coque, enveloppé dans des flocons d'avoine. ingrédients : Farine de Blé T80, levain de Seigle T170, Noisettes, Abricots, raisins de corinthe, flocons d'avoines, graines de courge, eau, sel",6.7,1,
808,81,Pain aux Noix Grand Moulé 1300 g,"Un pain aux noix concassées et réhydratées, sur la base du pain de Campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, Noix, eau, sel",8.23,1,
809,81,Pain Complet Banneton 1000 g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain.",4.59,1,
810,81,Pain Intégral Grand Moulé 1300 g,"Pain au levain de seigle, réalisé avec l'intégralité du grain de blé.  Très riche en fibres et minéraux ingrédients : Farine de Blé T80, Rémoulage, son gros, son fin,  levain de Seigle T170, eau, sel",4.59,1,
811,81,Pain au Maïs en petit moules 500 g,"Farine de Maïs Ancien Grand Roux Basque
Blé et Graines de tournesol ingrédients : Farine de Maïs
Farine de Blé T65
Levain de Blé, eau, sel
Graines de tournesol
Curcuma",3.69,1,
812,81,Pain aux graines Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
814,81,Petit Epeautre petit moule 500 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",3.8,1,
818,81,Pain complet Grand Moulé 1300g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Farine de Blé T80, Rémoulage, son fin,  levain de Seigle T170, eau, sel",4.59,1,
819,81,Pain aux 6 grains,"Pain d'origine allemande, très riche en seigle (50%) et blé semi complet (50%), levain de seigle
Riches en graines de tournesol, flocons d'avoine, graines de courge et lins
Très grande conservation ingrédients : Farine de Seigle Complet
Blé semi complet
Levain de seigle
Sel et eau
Tournesol, flocon d'avoine, lin brun, lin doré, graines de courge",2.95,1,
820,81,Pain de Riz et Sogho petit moule 500 g,"Farines de Riz et de Sorgho, naturellement sans gluten, Huile d'olive. ingrédients : Farine de Riz
Farine de Sorgho
Eau, sel, huile d'olive, levain et levure",4.59,1,
821,81,Pain de Riz et Sogho aux graines en petit moule 500 g,"Base du pain de riz et Sorgho, 
Mélange de graines oléagineuses
 ingrédients : Farine de Riz
farine de sorgho
eau, sel, levain, huile d'olive

Lin brun, lin doré, pavot, sésame, tournesol.",4.91,1,
822,81,Brioche 900 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, 
Levain de lait
Oeufs entiers, beurre Isigny St Mère, 
sucre de canne, sel, levure ",12.55,1,
823,81,Brioche 450 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, Levain de laitOeufs entiers, beurre Isigny St Mère, sucre de canne, sel, levure ",6.18,1,
824,81,Roulé Cannelle 100 g,"Sur une base de pain au lait, incorporation d'un beurre cannelle, puis tressage. ingrédients : Farine de Blé T65, lait, oeuf, beurre, sucre, sel, cannelle, levure",1.69,1,
825,81,"Brioche Provençale ""Pompe à l'huile""","Brioche sans beurre ni œuf, dessert traditionnel du diner des apôtres,
Naturellement Vegan ingrédients : Farine de Blé T65
Levain de Blé
Eau, sel, levure
Huile d'Olive",1.58,1,
827,81,Bun's Brioché,"Pain à Hamburger brioché aux œufs, beurre ingrédients : Farine T65, oeufs, beurre, lait, eau,  œuf, pâte fermentée, levure, sel",1.06,1,
828,81,Shokupan 500 g,"Pain de Mie de tradition Japonaise réalisée sur 3 pâtes et au levain de Panettone. 
Conservation exceptionnelle de 10 jours sous film.
10cm x 10cm x 19 cm ingrédients : Farine de Blé T55,
Levain de Panettone
Lait, eau, sucre de canne, beurre isigny sainte mère,
sel",4.85,1,
829,81,Shokupan 1400 g,"Pain de Mie de tradition Japonaise réalisée sur 3 pâtes et au levain de Panettone. 
Conservation exceptionnelle de 10 jours sous film.
11cm x 11cm x 36 cm ingrédients : Farine de Blé T55,
Levain de Panettone
Lait, eau, sucre de canne, beurre isigny sainte mère,
sel",11.92,1,
830,81,BUN'S NATURE,"Petits bun's de 100 g, à huile d'olive ingrédients : Farine T65
eau, sel, levain de blé, levure
Huile d'olive, son fin",0.84,1,
831,81,Crackers,"Crackers au levain de seigle et graines oléagineuses, huile d'olive, origan ingrédients : Farine de Blé T80
Farine de Seigle T170
eau, sel, Lin Brun, Lin doré, Pavot, Sésame , Tournesol, Huile d'Olive, Origan",15.09,1,
832,81,Cookies Noix-Noisettes-Chocolat,"Cookies de 70 g
Généreusement garni de Noix, Noisettes et Chocolat ingrédients : Farine de Blé T65,
Oeufs entier, Beurre Isisgny Ste Mère, Sucre de Canne, 
Noix, Noisettes, Chocolat noir 66%
sel, poudre levante",1,1,
833,81,Canistrellis,"Biscuits de tradition Corse, à l'anis, huile d'olive et vin blanc ingrédients : Farine de Blé T65,
huile d'olive, vin blanc, sucre, sel, graines d'anis, poudre levante",15.56,1,
834,81,Brownie,"Brownie aux Noix et chocolat noir 66% ingrédients : Farine de Blé T65
 Beurre Isigny St Mère, Œuf entier, sucre, noix, sel, poudre levante",2.69,1,
835,81,Cake au citron,"Pour les amoureux du citron !
Zest de citron, jus de citron, citron confit, sirop de citron. ingrédients : Farine de Blé T65,
Citron jaune
Sucre de canne, Œuf entier, beurre Isigny Ste Mère, amidon de Maïs, sel ",7.91,1,
836,81,Pain de Campagne Grand Moulé 1300g,"Pain de Campagne cuit en moule rectangulaire. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
837,81,Pain de Campagne Grand Moulé 1500g,"Pain de Campagne cuit en moule rectangulaire. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
838,81,Pain de Campagne Banneton 1000 g,"Pain façonné en banneton osier et cuit à même sur la sole du four. Une croûte profonde et mie ouverte. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
839,81,Sechskornbröt Petit moulé 500 g,"Farine de Seigle Complet Blé semi complet Levain de seigle Sel et eau Tournesol, flocon d'avoine, lin brun, lin doré, graines de courge",2.95,1,
840,81,tourte de seigle,"tourte de seigle, 1kg",4.19,1,
841,82,Pain de Campagne Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
842,82,Pain de Campagne Moule Fermé 1500 g,"Pain de Campagne cuit en moule fermé.
Il a une forme parfaitement rectangulaire, et très peu de croûte ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
844,82,Petit Epeautre petit moule 500 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",3.8,1,
845,82,Petit Epeautre Grand  moule 1300 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",8.02,1,
846,82,Pain aux graines Banneton 1000g,"Pain façonné en banneton osier et cuit à même sur la sole du four. Une croûte profonde et mie ouverte. ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
847,82,Pain aux graines Grand Moulé 1300g,"Pain aux graines oléagineuses sur base de pain de campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
848,82,Pain Généreux Grand Moulé 1300g,"Pain aux fruits sec et fruits à coque, enveloppé dans des flocons d'avoine. ingrédients : Farine de Blé T80, levain de Seigle T170, Noisettes, Abricots, raisins de corinthe, flocons d'avoines, graines de courge, eau, sel",6.7,1,
849,82,Pain aux graines Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
850,82,Pain de Méteil en Boule 1000 g,"Pain rustique mi blé mi seigle au levain de seigle ingrédients : Farine de Blé T80
Farine de Seigle T70
eau, sel, levain de seigle",4.91,1,
851,82,Pain au Maïs en petit moules 500 g,"Farine de Maïs Ancien Grand Roux Basque
Blé et Graines de tournesol ingrédients : Farine de Maïs
Farine de Blé T65
Levain de Blé, eau, sel
Graines de tournesol
Curcuma",3.69,1,
852,82,Pain de Khorasan en boule de 800 g,"Farine de Blé dur ancien de variété Khorasan.  ingrédients : Farine de Khorasan 
Levain de Khorasan
eau, sel",6.27,1,
853,82,1/2 Focaccia en plaque de 1600 g,"Pâte levée italienne, largement bassinée à l'huile d'Olive, vendue en 1/2 plaque de 1600 g de 30cm x 40 cm ingrédients : Farine de Blé T65
levain dur de blé T55
eau, sel, huile d'olive, origan",9.28,1,
854,82,1/2 Focaccia Olives & Tomates,"Base de pâte à Focaccia + Olives de kalamata, Tomates séchées, huile d'olive et origan ingrédients : Farine de Blé T65
Eau, sel, levain dur de blé T55, 
Olives de kalamata, Tomates",18.4,1,
855,82,Focaccia en plaque de 3200 g,"Pâte levée italienne, largement bassinée à l'huile d'Olive, vendue en plaque de 3200 g de 60cm x 40 cm ingrédients : Farine de Blé T65
levain dur de blé T55
eau, sel, huile d'olive, origan",18.57,1,
856,82,Focaccia Olives & Tomates,"Base de pâte à Focaccia + Olives de kalamata, Tomates séchées, huile d'olive et origan ingrédients : Farine de Blé T65
Eau, sel, levain dur de blé T55, 
Olives de kalamata, Tomates",36.8,1,
857,82,Pain aux Noix Grand Moulé 1300 g,"Un pain aux noix concassées et réhydratées, sur la base du pain de Campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, Noix, eau, sel",8.23,1,
858,82,Pain Complet Banneton 1000 g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain.",4.59,1,
859,82,Pain complet Grand Moulé 1300g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Farine de Blé T80, Rémoulage, son fin,  levain de Seigle T170, eau, sel",4.59,1,
860,82,Pain Intégral Grand Moulé 1300 g,"Pain au levain de seigle, réalisé avec l'intégralité du grain de blé.  Très riche en fibres et minéraux ingrédients : Farine de Blé T80, Rémoulage, son gros, son fin,  levain de Seigle T170, eau, sel",4.59,1,
862,82,Pain de Riz et Sorgho petit moule 500 g,"Farines de Riz et de Sorgho, naturellement sans gluten, Huile d'olive. ingrédients : Farine de Riz
Farine de Sorgho
Eau, sel, huile d'olive, levain et levure",4.59,1,
863,82,Pain de Riz et Sorgho aux graines en petit moule 500 g,"Base du pain de riz et Sorgho, 
Mélange de graines oléagineuses
 ingrédients : Farine de Riz
farine de sorgho
eau, sel, levain, huile d'olive

Lin brun, lin doré, pavot, sésame, tournesol.",4.91,1,
864,82,Brioche 450 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, Levain de laitOeufs entiers, beurre Isigny St Mère, sucre de canne, sel, levure ",6.18,1,
865,82,Brioche 900 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, 
Levain de lait
Oeufs entiers, beurre Isigny St Mère, 
sucre de canne, sel, levure ",12.55,1,
866,82,Roulé Cannelle 100 g,"Sur une base de pain au lait, incorporation d'un beurre cannelle, puis tressage. ingrédients : Farine de Blé T65, lait, oeuf, beurre, sucre, sel, cannelle, levure",1.69,1,
867,82,"Brioche Provençale ""Pompe à l'huile""","Brioche sans beurre ni œuf, dessert traditionnel du diner des apôtres,
Naturellement Vegan ingrédients : Farine de Blé T65
Levain de Blé
Eau, sel, levure
Huile d'Olive",1.58,1,
869,82,Bun's Brioché,"Pain à Hamburger brioché aux œufs, beurre ingrédients : Farine T65, oeufs, beurre, lait, eau,  œuf, pâte fermentée, levure, sel",1.06,1,
873,82,Cookies Noix-Noisettes-Chocolat,"Cookies de 70 g
Généreusement garni de Noix, Noisettes et Chocolat ingrédients : Farine de Blé T65,
Oeufs entier, Beurre Isisgny Ste Mère, Sucre de Canne, 
Noix, Noisettes, Chocolat noir 66%
sel, poudre levante",1,1,
874,82,Canistrellis,"Biscuits de tradition Corse, à l'anis, huile d'olive et vin blanc ingrédients : Farine de Blé T65,
huile d'olive, vin blanc, sucre, sel, graines d'anis, poudre levante",15.56,1,
875,82,Brownie,"Brownie aux Noix et chocolat noir 66% ingrédients : Farine de Blé T65
 Beurre Isigny St Mère, Œuf entier, sucre, noix, sel, poudre levante",2.69,1,
876,82,Cake au citron,"Pour les amoureux du citron !
Zest de citron, jus de citron, citron confit, sirop de citron. ingrédients : Farine de Blé T65,
Citron jaune
Sucre de canne, Œuf entier, beurre Isigny Ste Mère, amidon de Maïs, sel ",7.91,1,
877,82,Pain de Campagne Grand Moulé 1300g,"Pain de Campagne cuit en moule rectangulaire. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
878,82,Pain de Campagne Banneton 1000 g,"Pain façonné en banneton osier et cuit à même sur la sole du four. Une croûte profonde et mie ouverte. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
879,82,Pain de Campagne Grand Moulé 1500g,"Pain de Campagne cuit en moule rectangulaire. ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
880,82,Sechskornbröt Petit moulé 500 g,"Farine de Seigle Complet Blé semi complet Levain de seigle Sel et eau Tournesol, flocon d'avoine, lin brun, lin doré, graines de courge",2.95,1,
883,83,Pain de Campagne Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
884,83,Pain de Campagne Moule Fermé 1500 g,"Pain de Campagne cuit en moule fermé.
Il a une forme parfaitement rectangulaire, et très peu de croûte ingrédients : Farine de Blé T80, levain de Seigle T170, eau, sel",4.43,1,
885,83,Pain aux graines Miche 2000 g,"Gros pain de 2 kg, très longue cuisson.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
886,83,Petit Epeautre petit moule 500 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",3.8,1,
888,83,Pain complet Grand Moulé 1300g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Farine de Blé T80, Rémoulage, son fin,  levain de Seigle T170, eau, sel",4.59,1,
890,83,Pain de Riz et Sorgho petit moule 500 g,"Farines de Riz et de Sorgho, naturellement sans gluten, Huile d'olive. ingrédients : Farine de Riz
Farine de Sorgho
Eau, sel, huile d'olive, levain et levure",4.59,1,
891,83,Petit Epeautre Grand  moule 1300 g,"Pain à la farine de Petit épeautre complet (engrain), et au levain de petit épeautre complet.
Terroir AOP des Alpes de Haute Provence
Très riche en protéine et pauvre en gluten. ingrédients : Farine de Petit Epeautre complet
levain de Petit Epeautre, 
eau, sel",8.02,1,
892,83,Pain aux graines Banneton 1000g,"Pain façonné en banneton osier et cuit à même sur la sole du four. Une croûte profonde et mie ouverte. ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
893,83,Pain aux graines Grand Moulé 1300g,"Pain aux graines oléagineuses sur base de pain de campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, lin brun, lin doré, tournesol, sésame, pavot, eau, sel",5.05,1,
894,83,Pain Généreux Grand Moulé 1300g,"Pain aux fruits sec et fruits à coque, enveloppé dans des flocons d'avoine. ingrédients : Farine de Blé T80, levain de Seigle T170, Noisettes, Abricots, raisins de corinthe, flocons d'avoines, graines de courge, eau, sel",6.7,1,
895,83,Pain aux Noix Grand Moulé 1300 g,"Un pain aux noix concassées et réhydratées, sur la base du pain de Campagne.  ingrédients : Farine de Blé T80, levain de Seigle T170, Noix, eau, sel",8.23,1,
896,83,Pain Complet Banneton 1000 g,"Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain. ingrédients : Pain complet riche en fibres et minéraux, sans acide phytique grâce à la longue fermentation au levain.",4.59,1,
897,83,Pain Intégral Grand Moulé 1300 g,"Pain au levain de seigle, réalisé avec l'intégralité du grain de blé.  Très riche en fibres et minéraux ingrédients : Farine de Blé T80, Rémoulage, son gros, son fin,  levain de Seigle T170, eau, sel",4.59,1,
898,83,Pain au Maïs en petit moules 500 g,"Farine de Maïs Ancien Grand Roux Basque
Blé et Graines de tournesol ingrédients : Farine de Maïs
Farine de Blé T65
Levain de Blé, eau, sel
Graines de tournesol
Curcuma",3.69,1,
899,83,Pain de Riz et Sorgho aux graines en petit moule 500 g,"Base du pain de riz et Sorgho, 
Mélange de graines oléagineuses
 ingrédients : Farine de Riz
farine de sorgho
eau, sel, levain, huile d'olive

Lin brun, lin doré, pavot, sésame, tournesol.",4.91,1,
900,83,Brioche 900 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, 
Levain de lait
Oeufs entiers, beurre Isigny St Mère, 
sucre de canne, sel, levure ",12.55,1,
901,83,Brioche 450 g,"Brioche au beurre Isigny Sainte Mère AOP et aux oeufs. Pas de lait ni d'eau. ingrédients : Farine de Blé T65, Levain de laitOeufs entiers, beurre Isigny St Mère, sucre de canne, sel, levure ",6.18,1,
902,83,Roulé Cannelle 100 g,"Sur une base de pain au lait, incorporation d'un beurre cannelle, puis tressage. ingrédients : Farine de Blé T65, lait, oeuf, beurre, sucre, sel, cannelle, levure",1.69,1,
903,83,"Brioche Provençale ""Pompe à l'huile""","Brioche sans beurre ni œuf, dessert traditionnel du diner des apôtres,
Naturellement Vegan ingrédients : Farine de Blé T65
Levain de Blé
Eau, sel, levure
Huile d'Olive",1.58,1,
905,83,Bun's Brioché,"Pain à Hamburger brioché aux œufs, beurre ingrédients : Farine T65, oeufs, beurre, lait, eau,  œuf, pâte fermentée, levure, sel",1.06,1,
906,83,Shokupan 500 g,"Pain de Mie de tradition Japonaise réalisée sur 3 pâtes et au levain de Panettone. 
Conservation exceptionnelle de 10 jours sous film.
10cm x 10cm x 19 cm ingrédients : Farine de Blé T55,
Levain de Panettone
Lait, eau, sucre de canne, beurre isigny sainte mère,
sel",4.85,1,
907,83,Shokupan 1400 g,"Pain de Mie de tradition Japonaise réalisée sur 3 pâtes et au levain de Panettone. 
Conservation exceptionnelle de 10 jours sous film.
11cm x 11cm x 36 cm ingrédients : Farine de Blé T55,
Levain de Panettone
Lait, eau, sucre de canne, beurre isigny sainte mère,
sel",11.92,1,
909,83,Crackers,"Crackers au levain de seigle et graines oléagineuses, huile d'olive, origan ingrédients : Farine de Blé T80
Farine de Seigle T170
eau, sel, Lin Brun, Lin doré, Pavot, Sésame , Tournesol, Huile d'Olive, Origan",15.09,1,
910,83,Cookies Noix-Noisettes-Chocolat,"Cookies de 70 g
Généreusement garni de Noix, Noisettes et Chocolat ingrédients : Farine de Blé T65,
Oeufs entier, Beurre Isisgny Ste Mère, Sucre de Canne, 
Noix, Noisettes, Chocolat noir 66%
sel, poudre levante",1,1,
911,83,Canistrellis,"Biscuits de tradition Corse, à l'anis, huile d'olive et vin blanc ingrédients : Farine de Blé T65,
huile d'olive, vin blanc, sucre, sel, graines d'anis, poudre levante",15.56,1,
912,83,Brownie,"Brownie aux Noix et chocolat noir 66% ingrédients : Farine de Blé T65
 Beurre Isigny St Mère, Œuf entier, sucre, noix, sel, poudre levante",2.69,1,
